airport,Latitude,Longitude
ABQ,35.039976,-106.608925
ALB,42.748299,-73.801697
ANC,61.179004,-149.992561
ATL,33.6367,-84.428101
AUS,30.197535,-97.662015
BDL,41.938555,-72.688016
BHM,33.562877,-86.750712
BNA,36.1245,-86.6782
BOI,43.5644,-116.223
BOS,42.36197,-71.0079
BUF,42.940498,-78.732201
BWI,39.1754,-76.668297
CHS,32.896159,-80.038151
CLE,41.411701,-81.8498
CLT,35.2140007,-80.94309998
CMH,39.998001,-82.891899
COS,38.805801,-104.700996
DAY,39.902401,-84.219398
DCA,38.8521,-77.037697
DEN,39.860027,-104.673792
DFW,32.896801,-97.038002
DSM,41.534027,-93.656719
DTW,42.21377,-83.353786
EGE,39.64260101,-106.9179993
ELP,31.809908,-106.375607
EWR,40.692501,-74.168701
FAT,36.775767,-119.718018
FLL,26.072599,-80.152702
GEG,47.6199,-117.533997
GSO,36.09937,-79.937262
GUC,38.534672,-106.934566
HDN,40.481201,-107.218002
HNL,21.318387,-157.92567
HOU,29.645336,-95.276812
IAD,38.9445,-77.455803
IAH,29.9844,-95.3414
ICT,37.650314,-97.428583
ILM,34.271719,-77.904644
IND,39.7173,-86.294403
JAC,43.6073,-110.737999
JAX,30.492469,-81.687813
JFK,40.639447,-73.779317
KOA,19.738783,-156.045603
LAS,36.083361,-115.151817
LAX,33.942501,-118.407997
LBB,33.663601,-101.822998
LGA,40.777199,-73.872597
LIH,21.974393,-159.337146
MCI,39.2976,-94.713898
MCO,28.42939949,-81.30899811
MDT,40.192838,-76.762333
MEM,35.043845,-89.97634
MFE,26.176141,-98.237965
MIA,25.7932,-80.290604
MKE,42.947201,-87.896599
MSP,44.880081,-93.221741
MSY,29.993401,-90.258003
MTJ,38.5098,-107.893997
OAK,37.720085,-122.221184
OGG,20.896263,-156.431837
OKC,35.393388,-97.598248
OMA,41.3032,-95.894096
ONT,34.056,-117.600998
ORD,41.9786,-87.9048
ORF,36.895341,-76.201
PBI,26.683201,-80.095596
PDX,45.588699,-122.598
PHL,39.871899,-75.241096
PHX,33.435302,-112.005905
PIT,40.491501,-80.232903
PSP,33.8297,-116.507004
PVD,41.725038,-71.425668
PWM,43.646198,-70.309303
RDU,35.878659,-78.7873
RIC,37.505199,-77.319702
RNO,39.4991,-119.767998
ROC,43.1189,-77.672401
RSW,26.534685,-81.752816
SAN,32.733601,-117.190002
SAT,29.533701,-98.469803
SDF,38.1706,-85.735076
SEA,47.447943,-122.310276
SFO,37.619806,-122.374821
SJC,37.362452,-121.929188
SJU,18.4394,-66.001801
SLC,40.78886,-111.979866
SMF,38.6954,-121.591003
SNA,33.675063,-117.869281
STL,38.748697,-90.370003
STT,18.337091,-64.977251
STX,17.701413,-64.802608
SYR,43.11119843,-76.10630035
TPA,27.9755,-82.533203
TUL,36.197084,-95.886225
TUS,32.115004,-110.938053
ADK,51.883564,-176.642783
ADQ,57.75,-152.4940033
BET,60.77980042,-161.8379974
BLI,48.7928009,-122.538002
BRW,71.285402,-156.766008
BUR,34.202834,-118.35805
CDV,60.491798,-145.477997
FAI,64.815102,-147.856003
JNU,58.354935,-134.574416
KTN,55.35559845,-131.7140045
OME,64.5121994,-165.4450073
OTZ,66.88469696,-162.598999
PSG,56.80170059,-132.9450073
SCC,70.19470215,-148.4649963
SIT,57.04710007,-135.3619995
WRG,56.48429871,-132.3699951
YAK,59.508717,-139.660435
BQN,18.4949,-67.129402
BTV,44.471901,-73.153297
DAB,29.18255,-81.059464
HPN,41.06700134,-73.70760345
LGB,33.816523,-118.149891
ORH,42.2673,-71.875702
PSE,18.008301,-66.563004
SAV,32.126591,-81.19998
SRQ,27.394631,-82.554359
SWF,41.501731,-74.100435
ABE,40.651773,-75.442797
AGS,33.3699,-81.9645
ATW,44.258515,-88.519
AVL,35.435488,-82.541853
AVP,41.337064,-75.724232
BIL,45.807824,-108.533667
BIS,46.772734,-100.746874
BMI,40.4771,-88.915901
BZN,45.778853,-111.153711
CAE,33.938172,-81.117499
CAK,40.91609955,-81.44219971
CHA,35.035301,-85.203796
CHO,38.1385994,-78.45290375
CRW,38.3731,-81.593201
CVG,39.048801,-84.667801
DAL,32.844776,-96.847653
DLH,46.842098,-92.193604
ECP,30.357106,-85.795414
EVV,38.03699875,-87.53240204
EYW,24.556101,-81.759598
FAR,46.9207,-96.815804
FAY,34.991199,-78.880302
FCA,48.310501,-114.255997
FNT,42.969294,-83.743355
FSD,43.585463,-96.741152
GNV,29.69009972,-82.27179718
GPT,30.405582,-89.069836
GRB,44.483459,-88.130805
GRR,42.880798,-85.522797
GSP,34.895699,-82.218903
HSV,34.636244,-86.774378
JAN,32.311199,-90.075897
LEX,38.035066,-84.606738
LFT,30.205299,-91.987602
LIT,34.729222,-92.223591
MDW,41.785999,-87.752403
MHT,42.932598,-71.435699
MLB,28.102009,-80.641088
MOB,30.6912,-88.242798
MSN,43.1399,-89.337502
MSO,46.915816,-114.091107
MYR,33.679699,-78.928299
PHF,37.131901,-76.492996
PNS,30.472718,-87.186639
PSC,46.264702,-119.119003
ROA,37.3255,-79.975403
SGF,37.245047,-93.388596
SHV,32.446602,-93.8256
TLH,30.400369,-84.35433
TRI,36.475201,-82.407401
TYS,35.811001,-83.994003
VPS,30.481315,-86.515839
XNA,36.281898,-94.306801
ABY,31.532946,-84.196215
ACT,31.61129951,-97.23049927
AEX,31.325828,-92.546702
AMA,35.217857,-101.706444
AZO,42.232105,-85.549637
BGR,44.806364,-68.826668
BPT,29.9508,-94.020699
BQK,31.258801,-81.466499
BRO,25.907238,-97.425235
BTR,30.533199,-91.149597
CID,41.884701,-91.7108
CLL,30.5886,-96.3638
CRP,27.770399,-97.501198
CSG,32.516415,-84.939602
CWA,44.777448,-89.670238
DHN,31.32130051,-85.44960022
ELM,42.15990067,-76.89160156
ERI,42.083127,-80.173867
EWN,35.07300186,-77.04290009
FSM,35.336601,-94.367401
GJT,39.126663,-108.529387
GRK,31.0672,-97.828903
GTR,33.450298,-88.5914
HOB,32.6875,-103.217003
HRL,26.22850037,-97.65440369
JLN,37.151798,-94.498299
LAN,42.777582,-84.585721
LAW,34.567699,-98.416603
LCH,30.12610054,-93.22329712
LNK,40.844882,-96.76178
LRD,27.5438,-99.461601
MAF,31.942499,-102.202003
MBS,43.533181,-84.083104
MEI,32.3326,-88.7519
MGM,32.300598,-86.393997
MLI,41.448502,-90.5075
MLU,32.510899,-92.037697
OAJ,34.829201,-77.612099
PIA,40.663841,-89.692631
PIB,31.4671,-89.337097
RAP,44.04529953,-103.0569992
ROW,33.301601,-104.530998
RST,43.908298,-92.5
SAF,35.6171,-106.088997
SBN,41.708304,-86.316922
SCE,40.849374,-77.84852
SPI,39.844101,-89.677902
TVC,44.741402,-85.582199
TXK,33.453701,-93.990997
TYR,32.35409927,-95.40239716
VLD,30.78249931,-83.27670288
TTN,40.276699,-74.813499
UST,29.9592,-81.339798
ITO,19.72135,-155.045428
PPG,-14.331,-170.710007
ACY,39.456201,-74.577511
IAG,43.1073,-78.946198
LBE,40.275902,-79.4048
PBG,44.650902,-73.468102
ABR,45.44910049,-98.42179871
ACV,40.978101,-124.109
APN,45.0780983,-83.56030273
ASE,39.223202,-106.869003
BFL,35.433601,-119.056999
BGM,42.20869827,-75.97979736
BJI,47.50939941,-94.93370056
BRD,46.402861,-94.129727
BTM,45.95479965,-112.4970016
CDC,37.70100021,-113.098999
CIU,46.242038,-84.462082
CMX,47.16839981,-88.4890976
COD,44.520199,-109.024002
CPR,42.907381,-106.461609
DRO,37.151501,-107.753998
DVL,48.115454,-98.908796
EAU,44.86579895,-91.48429871
EKO,40.82490158,-115.7919998
ESC,45.723199,-87.088623
EUG,44.124599,-123.211998
FLG,35.139757,-111.669826
FWA,40.978896,-85.194465
GCC,44.3489,-105.539001
GFK,47.949299,-97.176102
GTF,47.481998,-111.371002
HIB,47.384831,-92.836905
HLN,46.6068,-111.983002
HYS,38.844521,-99.273148
IDA,43.514599,-112.070999
IMT,45.81911,-88.114557
INL,48.56620026,-93.40309906
ITH,42.49100113,-76.45839691
JMS,46.92969894,-98.67819977
LAR,41.31209946,-105.6750031
LSE,43.879002,-91.256699
LWS,46.37450027,-117.0149994
MFR,42.374199,-122.873001
MKG,43.169498,-86.238197
MMH,37.625381,-118.84306
MOT,48.25801,-101.279123
MQT,46.351498,-87.395884
MRY,36.586777,-121.844183
OTH,43.417099,-124.2460022
PAH,37.06079865,-88.77380371
PIH,42.90980148,-112.5960007
PLN,45.57089996,-84.79669952
RDD,40.50899887,-122.2929993
RDM,44.254101,-121.150002
RHI,45.63119888,-89.46749878
RKS,41.5942,-109.065001
SBA,34.426201,-119.839996
SBP,35.23680115,-120.6419983
SGU,37.036389,-113.510306
SMX,34.898899,-120.457001
SUN,43.50439835,-114.2959976
TWF,42.4818,-114.487999
YUM,32.650938,-114.609375
GUM,13.485,144.797282
ISP,40.796324,-73.101703
GGG,32.38399887,-94.71150208
SJT,31.35770035,-100.4960022
SPS,33.9888,-98.491898
ACK,41.25310135,-70.06020355
HYA,41.6693,-70.280403
MVY,41.39310074,-70.61430359
BFF,41.87400055,-103.5960007
WYS,44.6884,-111.117996
AKN,58.677845,-156.651965
DLG,59.04470062,-158.5050049
GST,58.4253006,-135.7070007
ABI,32.41130066,-99.68190002
GCK,37.92750168,-100.723999
MHK,39.14099884,-96.67079926
GRI,40.96749878,-98.30960083
EFD,29.6072998,-95.15879822
PGD,26.9202,-81.990501
SPN,15.119384,145.728848
ENV,40.71870041,-114.0309982
TKI,55.937099,-133.326996
IFP,35.154726,-114.559322
STS,38.50899887,-122.8130035
COU,38.8181,-92.219597
ALO,42.55709839,-92.40029907
TOL,41.5868,-83.8078
SUX,42.397605,-96.382237
CKB,39.2966,-80.228104
FNL,40.44969,-105.011272
CGI,37.2253,-89.570801
PUB,38.289101,-104.497002
SWO,36.162132,-97.085581
UIN,39.942699,-91.194603
ROP,14.173267,145.241103
CMI,40.039819,-88.276249
DIK,46.797533,-102.801905
JHM,20.9629,-156.673004
LNY,20.785675,-156.951324
MKK,21.152901,-157.095993
AZA,33.3078,-111.654999
BLV,38.5452,-89.835197
HGR,39.708771,-77.728014
HTS,38.366699,-82.557999
LCK,39.813801,-82.927803
OGD,41.19589996,-112.012001
OGS,44.6819,-75.4655
OWB,37.74010086,-87.16680145
PIE,27.9102,-82.687401
PSM,43.0779,-70.823303
PVU,40.218894,-111.722445
RFD,42.1954,-89.097198
SCK,37.893279,-121.238079
SFB,28.774277,-81.234626
STC,45.5466,-94.059898
USA,35.387798,-80.709099
YNG,41.26070023,-80.67910004
DUT,53.89881,-166.544996
DBQ,42.402,-90.709503
HVN,41.262869,-72.887694
LYH,37.326698,-79.200401
ART,43.991901,-76.021698
FLO,34.1853981,-79.72389984
HHH,32.2244,-80.697502
IPT,41.242126,-76.92245
PGV,35.635535,-77.384262
SBY,38.34049988,-75.51029968
ALW,46.09489822,-118.288002
EAT,47.398899,-120.207001
PUW,46.741601,-117.11163
YKM,46.56819916,-120.5439987
LBF,41.12620163,-100.6839981
LBL,37.0442009,-100.9599991
LWB,37.857914,-80.400438
SHD,38.263802,-78.8964
SLN,38.79100037,-97.65219879
CNY,38.755001,-109.754997
BKG,36.532082,-93.200544
VEL,40.436214,-109.511661
PQI,46.688999,-68.0448
PRC,34.653502,-112.419883
EAR,40.727001,-99.006798
DRT,29.37420082,-100.927002
CYS,41.155701,-104.811997
PAE,47.9063,-122.281998
ATY,44.91400146,-97.15470123
PIR,44.38270187,-100.2860031
BFM,30.62680054,-88.06809998
XWA,48.260863,-103.75116
RIW,43.064201,-108.459999
SHR,44.76919937,-106.9800034
DDC,37.76340103,-99.96559906
DEC,39.83459854,-88.86569977
CDB,55.207871,-162.725029
ALS,37.434898,-105.866997
VCT,28.8526001,-96.91850281
JST,40.31610107,-78.83390045
ILG,39.678699,-75.606499
FOD,42.552624,-94.191237
MCW,43.159801,-93.329716
TBN,37.7416,-92.140701
BIH,37.3731,-118.363998
MGW,39.643305,-79.917598
CLD,33.1283,-117.279999
GUF,30.290501,-87.671799
FMN,36.741199,-108.230003
LAF,40.412875,-86.939363
